restart_count,cpu_usage_pct,memory_usage_pct,pod_ready,last_exit_code,waiting_reason,oom_killed_count,image_pull_errors,failed_scheduling_events,readiness_probe_failures,label
0,34.9,64.2,0,1,Error,0,0,0,4,probe_failure
0,1.8,36.3,1,0,None,0,0,0,0,healthy
1,30.3,49.9,1,0,None,0,0,0,0,healthy
3,47.5,66.5,0,0,Running,0,0,0,8,probe_failure
0,35.1,40.1,1,0,None,0,0,0,1,healthy
4,41.1,95.1,0,137,OOMKilled,2,0,0,3,oom_killed
0,9.8,19.0,0,0,Pending,0,0,5,0,scheduling_failure
0,11.9,19.5,0,0,Pending,0,0,7,0,scheduling_failure
1,1.7,8.0,0,0,Pending,0,0,6,0,scheduling_failure
0,9.5,12.8,0,0,ErrImagePull,0,3,0,0,image_pull_error
0,16.3,21.7,0,0,ErrImagePull,0,6,0,1,image_pull_error
0,1.9,19.1,0,0,ImagePullBackOff,0,6,0,1,image_pull_error
0,10.5,14.8,0,0,ImagePullBackOff,0,6,0,0,image_pull_error
0,6.5,11.3,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
0,49.4,39.0,1,0,None,0,0,0,0,healthy
0,68.0,59.1,0,0,Error,0,0,0,5,probe_failure
2,56.4,69.4,0,1,Running,0,0,0,7,probe_failure
4,78.9,73.3,0,1,Error,0,0,0,8,crash_loop
0,27.1,54.6,1,0,None,0,0,0,0,healthy
2,50.2,75.6,0,0,Error,0,0,0,6,probe_failure
4,57.1,96.2,0,137,Error,5,0,0,2,oom_killed
0,12.3,27.4,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
8,89.3,47.2,0,0,Error,0,0,0,7,crash_loop
2,59.3,89.4,0,137,OOMKilled,3,0,0,4,oom_killed
0,8.7,21.5,0,0,Unschedulable,0,0,8,1,scheduling_failure
0,0.0,13.3,0,1,ImagePullBackOff,0,5,0,0,image_pull_error
0,11.2,16.8,0,0,ImagePullBackOff,0,6,0,0,image_pull_error
1,15.1,21.0,0,0,Pending,0,0,5,0,scheduling_failure
1,53.5,59.3,0,0,Running,0,0,0,9,probe_failure
1,8.4,9.8,0,0,Unschedulable,0,0,8,0,scheduling_failure
0,13.6,8.0,0,0,ImagePullBackOff,0,6,0,1,image_pull_error
1,47.5,44.2,0,1,Error,0,0,0,4,probe_failure
0,5.7,17.8,0,0,Pending,0,0,7,1,scheduling_failure
7,73.8,73.1,0,1,CrashLoopBackOff,0,0,0,3,crash_loop
1,18.1,55.3,1,0,None,0,0,0,0,healthy
2,67.8,58.2,0,1,Running,0,0,0,3,probe_failure
0,27.2,42.6,1,0,None,0,0,0,0,healthy
0,14.8,16.4,0,0,ErrImagePull,0,5,0,1,image_pull_error
2,72.8,73.6,0,0,Running,0,0,0,5,probe_failure
0,19.2,39.4,1,0,None,0,0,0,0,healthy
0,5.2,22.3,0,1,ImagePullBackOff,0,7,0,0,image_pull_error
0,3.2,13.9,0,0,Unschedulable,0,0,5,0,scheduling_failure
1,29.6,38.4,1,0,None,0,0,0,0,healthy
0,7.3,11.5,0,1,ErrImagePull,0,2,0,1,image_pull_error
1,60.0,97.3,0,137,Error,3,0,0,1,oom_killed
0,22.0,10.7,0,0,ErrImagePull,0,3,0,0,image_pull_error
8,82.1,71.2,0,1,Error,0,0,0,7,crash_loop
13,82.9,79.7,0,2,Error,0,0,0,6,crash_loop
2,53.1,59.8,0,0,Error,0,0,0,3,probe_failure
1,6.9,21.0,0,0,Pending,0,0,2,0,scheduling_failure
0,41.9,41.1,1,0,None,0,0,0,0,healthy
2,49.0,52.2,0,0,Error,0,0,0,7,probe_failure
0,15.8,10.8,0,0,ErrImagePull,0,0,0,0,image_pull_error
0,57.6,100.0,0,137,OOMKilled,3,0,0,2,oom_killed
1,60.4,93.2,0,137,Error,2,0,0,2,oom_killed
5,77.1,79.4,0,1,Error,0,0,0,7,crash_loop
0,28.7,53.9,1,0,None,0,0,0,0,healthy
1,45.7,92.5,0,137,Error,1,0,0,3,oom_killed
3,61.2,93.3,0,137,OOMKilled,1,0,0,1,oom_killed
0,10.2,22.6,0,1,ImagePullBackOff,0,3,0,0,image_pull_error
5,83.2,77.3,0,1,CrashLoopBackOff,0,0,0,3,crash_loop
2,62.9,92.4,0,137,Error,3,0,0,1,oom_killed
4,66.2,96.9,0,137,Error,0,0,0,3,oom_killed
2,53.9,49.2,0,0,Error,0,0,0,8,probe_failure
3,68.6,85.6,0,137,Error,4,0,0,1,oom_killed
10,81.8,57.7,0,2,CrashLoopBackOff,0,0,0,3,crash_loop
0,10.0,21.7,0,1,ImagePullBackOff,0,5,0,0,image_pull_error
2,10.9,35.6,1,0,None,0,0,0,1,healthy
6,98.6,67.7,0,0,CrashLoopBackOff,0,0,0,6,crash_loop
2,57.1,63.0,0,1,Error,0,0,0,7,probe_failure
0,6.9,11.7,0,0,ErrImagePull,0,3,0,0,image_pull_error
9,78.0,62.5,0,1,Error,0,0,0,5,crash_loop
1,14.9,44.0,1,0,None,0,0,0,0,healthy
4,34.8,91.3,0,137,OOMKilled,3,0,0,2,oom_killed
0,42.5,26.7,1,0,None,0,0,0,0,healthy
0,35.1,64.0,1,0,None,0,0,0,0,healthy
0,10.2,12.0,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
0,43.8,35.7,1,0,None,0,0,0,0,healthy
5,46.6,95.9,0,137,Error,3,0,0,0,oom_killed
2,38.7,74.3,0,1,Running,0,0,0,6,probe_failure
5,98.5,87.9,0,2,CrashLoopBackOff,0,0,0,6,crash_loop
0,2.6,18.8,0,0,ImagePullBackOff,0,4,0,0,image_pull_error
0,15.3,16.5,0,1,ImagePullBackOff,0,6,0,0,image_pull_error
1,43.4,42.2,1,0,None,0,0,0,0,healthy
1,57.5,90.5,0,137,OOMKilled,4,0,0,1,oom_killed
0,12.3,17.0,0,0,ImagePullBackOff,0,7,0,1,image_pull_error
2,47.5,38.0,0,0,Running,0,0,0,6,probe_failure
1,31.5,32.0,1,0,None,0,0,0,0,healthy
7,78.8,70.1,0,1,CrashLoopBackOff,0,0,0,6,crash_loop
0,29.6,52.0,1,0,None,0,0,0,0,healthy
0,13.9,35.3,1,0,None,0,0,0,0,healthy
1,46.0,49.4,0,0,Error,0,0,0,4,probe_failure
0,8.6,13.0,0,0,Pending,0,0,4,1,scheduling_failure
0,20.8,46.4,1,0,None,0,0,0,0,healthy
4,45.7,92.7,0,137,Error,2,0,0,1,oom_killed
1,3.7,16.6,0,0,Unschedulable,0,0,4,0,scheduling_failure
0,42.2,41.1,1,0,None,0,0,0,0,healthy
9,87.5,58.9,0,0,CrashLoopBackOff,0,0,0,4,crash_loop
0,7.6,14.4,0,1,ImagePullBackOff,0,6,0,0,image_pull_error
5,52.5,63.8,0,1,Error,0,0,0,9,probe_failure
0,39.5,31.3,1,0,None,0,0,0,0,healthy
3,61.0,57.7,0,1,Error,0,0,0,4,probe_failure
3,57.0,55.6,0,0,Running,0,0,0,4,probe_failure
0,21.0,51.0,1,0,None,0,0,0,1,healthy
0,42.9,29.6,1,0,None,0,0,0,0,healthy
2,72.3,60.5,0,0,Running,0,0,0,8,probe_failure
6,86.3,56.6,0,1,CrashLoopBackOff,0,0,0,3,crash_loop
0,20.5,18.9,1,0,None,0,0,0,0,healthy
10,77.6,87.4,0,1,CrashLoopBackOff,0,0,0,4,crash_loop
2,32.2,37.6,0,0,Error,0,0,0,7,probe_failure
9,74.4,73.4,0,0,CrashLoopBackOff,0,0,0,6,crash_loop
10,71.8,79.9,0,2,CrashLoopBackOff,0,0,0,1,crash_loop
5,51.1,94.2,0,137,Error,2,0,0,3,oom_killed
0,5.8,16.3,0,0,Pending,0,0,7,1,scheduling_failure
3,47.9,93.7,0,137,OOMKilled,3,0,0,2,oom_killed
9,72.4,77.0,0,1,Error,0,0,0,2,crash_loop
0,0.0,2.2,0,0,Pending,0,0,6,1,scheduling_failure
0,8.9,19.1,0,0,Pending,0,0,6,0,scheduling_failure
2,56.7,91.7,0,137,Error,2,0,0,2,oom_killed
0,12.3,12.1,0,0,Unschedulable,0,0,8,0,scheduling_failure
0,9.1,16.5,0,0,ErrImagePull,0,4,0,0,image_pull_error
1,46.5,58.3,0,0,Error,0,0,0,3,probe_failure
7,57.0,61.1,0,1,CrashLoopBackOff,0,0,0,8,crash_loop
0,9.1,7.4,0,0,Pending,0,0,8,0,scheduling_failure
0,38.8,11.3,1,0,None,0,0,0,0,healthy
1,42.7,92.8,0,137,OOMKilled,2,0,0,2,oom_killed
1,82.7,96.3,0,137,OOMKilled,4,0,0,3,oom_killed
3,47.4,73.1,0,0,Error,0,0,0,11,probe_failure
1,11.4,26.8,0,0,Pending,0,0,2,1,scheduling_failure
0,13.8,13.2,0,0,Unschedulable,0,0,7,0,scheduling_failure
0,12.5,19.0,0,0,ErrImagePull,0,5,0,0,image_pull_error
10,78.6,51.1,0,0,CrashLoopBackOff,0,0,0,5,crash_loop
2,51.5,95.8,0,137,Error,2,0,0,3,oom_killed
4,74.4,67.5,0,0,CrashLoopBackOff,0,0,0,9,crash_loop
10,86.1,53.8,0,0,CrashLoopBackOff,0,0,0,1,crash_loop
3,55.5,58.0,0,2,Error,0,0,0,7,crash_loop
0,15.1,12.6,0,0,Unschedulable,0,0,6,0,scheduling_failure
2,66.5,53.3,0,0,Running,0,0,0,7,probe_failure
8,60.9,53.8,0,1,CrashLoopBackOff,0,0,0,6,crash_loop
3,47.3,93.9,0,137,OOMKilled,2,0,0,2,oom_killed
6,72.4,69.8,0,0,Error,0,0,0,2,crash_loop
7,53.2,60.0,0,2,CrashLoopBackOff,0,0,0,7,crash_loop
3,46.2,96.5,0,137,OOMKilled,3,0,0,1,oom_killed
2,63.1,98.4,0,137,Error,2,0,0,2,oom_killed
1,5.2,24.6,1,0,None,0,0,0,0,healthy
2,44.9,68.5,0,1,Running,0,0,0,10,probe_failure
0,1.7,18.1,0,0,Unschedulable,0,0,2,0,scheduling_failure
0,6.7,18.2,0,0,ErrImagePull,0,7,0,0,image_pull_error
9,66.4,62.9,0,2,CrashLoopBackOff,0,0,0,6,crash_loop
1,5.6,17.1,0,0,ErrImagePull,0,5,0,1,image_pull_error
0,11.5,11.6,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
1,13.3,25.6,0,0,ErrImagePull,0,3,0,0,image_pull_error
1,3.0,18.0,0,0,Unschedulable,0,0,8,0,scheduling_failure
0,2.1,14.3,0,0,Unschedulable,0,0,8,0,scheduling_failure
3,60.3,93.8,0,137,OOMKilled,3,0,0,2,oom_killed
0,7.4,26.1,0,0,Pending,0,0,4,1,scheduling_failure
2,40.7,90.7,0,137,Error,4,0,0,0,oom_killed
0,5.6,11.0,0,0,Unschedulable,0,0,11,0,scheduling_failure
0,10.2,16.9,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
0,23.8,37.0,1,0,None,0,0,0,0,healthy
4,36.0,95.1,0,137,Error,4,0,0,1,oom_killed
5,75.6,71.0,0,1,Error,0,0,0,3,crash_loop
0,0.0,17.1,0,0,Unschedulable,0,0,4,1,scheduling_failure
0,47.2,95.9,0,137,Error,4,0,0,1,oom_killed
1,60.9,63.6,0,0,Running,0,0,0,7,probe_failure
1,2.1,18.2,0,1,ImagePullBackOff,0,4,0,1,image_pull_error
0,27.2,47.4,1,0,None,0,0,0,1,healthy
0,61.0,61.7,0,1,Error,0,0,0,7,crash_loop
5,77.9,67.9,0,0,CrashLoopBackOff,0,0,0,3,crash_loop
2,45.2,47.9,0,0,Running,0,0,0,6,probe_failure
1,25.8,43.5,1,0,None,0,0,0,0,healthy
0,12.5,19.5,0,0,Pending,0,0,7,0,scheduling_failure
1,11.8,20.8,0,0,Unschedulable,0,0,5,1,scheduling_failure
0,7.1,17.4,0,0,Unschedulable,0,0,6,0,scheduling_failure
8,76.8,61.6,0,1,Error,0,0,0,8,crash_loop
4,73.1,74.2,0,1,Error,0,0,0,3,crash_loop
6,66.9,98.9,0,137,Error,3,0,0,3,oom_killed
0,9.9,20.0,0,0,Unschedulable,0,0,7,0,scheduling_failure
3,27.9,94.2,0,137,OOMKilled,6,0,0,4,oom_killed
4,53.4,56.2,0,2,Error,0,0,0,9,probe_failure
1,17.1,35.6,1,0,None,0,0,0,0,healthy
1,7.4,9.7,0,0,Pending,0,0,7,0,scheduling_failure
2,78.3,70.3,0,1,Error,0,0,0,8,crash_loop
0,20.3,62.2,1,0,None,0,0,0,0,healthy
0,12.4,36.0,1,0,None,0,0,0,0,healthy
0,14.0,16.6,0,0,ImagePullBackOff,0,8,0,0,image_pull_error
4,62.9,100.0,0,137,OOMKilled,2,0,0,1,oom_killed
2,57.1,57.7,0,0,Error,0,0,0,2,probe_failure
0,13.9,10.5,0,0,ImagePullBackOff,0,8,0,0,image_pull_error
2,56.7,45.2,0,0,Running,0,0,0,6,probe_failure
3,35.5,85.6,0,137,Error,2,0,0,1,oom_killed
0,6.5,16.2,0,0,ImagePullBackOff,0,7,0,0,image_pull_error
1,44.9,60.2,0,0,Error,0,0,0,5,probe_failure
7,74.4,58.5,0,0,Error,0,0,0,2,crash_loop
1,13.3,18.2,0,0,Unschedulable,0,0,6,0,scheduling_failure
6,79.5,73.7,0,1,CrashLoopBackOff,0,0,0,6,crash_loop
2,50.2,65.6,0,0,Running,0,0,0,6,probe_failure
1,6.2,13.5,0,0,ImagePullBackOff,0,3,0,0,image_pull_error
9,84.3,56.0,0,1,Error,0,0,0,8,crash_loop
0,9.1,24.6,0,0,Pending,0,0,4,1,scheduling_failure
4,94.8,87.3,0,2,CrashLoopBackOff,0,0,0,5,crash_loop
8,84.9,74.7,0,1,Error,0,0,0,7,crash_loop
4,20.0,99.8,0,137,Error,2,0,0,1,oom_killed
3,44.0,68.6,0,0,Error,0,0,0,7,probe_failure
5,82.0,70.6,0,0,CrashLoopBackOff,0,0,0,7,crash_loop
0,16.2,9.7,0,0,Pending,0,0,7,1,scheduling_failure
11,73.9,55.8,0,1,CrashLoopBackOff,0,0,0,6,crash_loop
4,55.5,89.9,0,137,OOMKilled,1,0,0,3,oom_killed
7,33.7,96.3,0,137,Error,4,0,0,3,oom_killed
2,64.6,94.1,0,137,Error,3,0,0,3,oom_killed
0,12.9,11.1,0,0,ErrImagePull,0,10,0,0,image_pull_error
0,6.9,8.0,0,0,ErrImagePull,0,5,0,0,image_pull_error
0,1.1,11.2,0,0,Pending,0,0,6,0,scheduling_failure
0,12.8,22.4,0,0,Pending,0,0,10,0,scheduling_failure
0,10.7,18.3,0,0,Pending,0,0,4,0,scheduling_failure
0,14.5,16.6,0,0,ImagePullBackOff,0,9,0,0,image_pull_error
8,70.7,65.9,0,1,Error,0,0,0,4,crash_loop
0,6.8,19.1,0,0,ErrImagePull,0,4,0,0,image_pull_error
4,69.6,99.4,0,137,Error,3,0,0,2,oom_killed
1,45.2,62.6,0,1,Running,0,0,0,7,probe_failure
2,48.2,99.4,0,137,OOMKilled,6,0,0,2,oom_killed
6,82.9,64.7,0,1,CrashLoopBackOff,0,0,0,6,crash_loop
2,20.9,62.2,0,0,Running,0,0,0,5,probe_failure
1,10.3,18.5,0,0,ImagePullBackOff,0,6,0,0,image_pull_error
3,27.6,69.3,0,0,Running,0,0,0,4,probe_failure
0,11.7,29.2,0,0,Pending,0,0,8,0,scheduling_failure
0,15.0,11.5,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
0,13.5,18.5,0,0,Pending,0,0,5,0,scheduling_failure
0,11.0,10.1,0,0,ErrImagePull,0,6,0,1,image_pull_error
0,2.1,21.4,0,0,Unschedulable,0,0,8,0,scheduling_failure
0,14.4,4.6,0,0,Unschedulable,0,0,4,0,scheduling_failure
6,69.4,74.8,0,0,CrashLoopBackOff,0,0,0,8,crash_loop
2,35.4,95.9,0,137,Error,2,0,0,3,oom_killed
1,7.0,6.8,0,0,ImagePullBackOff,0,2,0,0,image_pull_error
2,36.7,57.7,0,1,Running,0,0,0,3,probe_failure
1,69.5,53.6,0,1,Error,0,0,0,6,probe_failure
3,38.3,65.9,0,0,Running,0,0,0,2,probe_failure
3,44.6,50.3,0,0,Error,0,0,0,5,probe_failure
3,56.9,94.2,0,137,Error,2,0,0,1,oom_killed
1,10.0,20.1,0,0,ErrImagePull,0,3,0,1,image_pull_error
6,82.0,75.7,0,2,CrashLoopBackOff,0,0,0,7,crash_loop
10,75.2,64.0,0,1,CrashLoopBackOff,0,0,0,7,crash_loop
3,67.3,86.1,0,137,OOMKilled,5,0,0,1,oom_killed
0,9.1,20.8,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
3,67.5,96.6,0,137,Error,4,0,0,3,oom_killed
7,69.3,71.2,0,1,Error,0,0,0,6,crash_loop
13,79.3,60.0,0,1,Error,0,0,0,4,crash_loop
0,5.4,21.6,0,0,Pending,0,0,7,0,scheduling_failure
3,51.4,87.6,0,137,Error,3,0,0,2,oom_killed
0,14.0,28.4,0,0,Pending,0,0,3,0,scheduling_failure
1,8.9,18.8,0,0,Pending,0,0,5,0,scheduling_failure
8,75.3,66.6,0,1,Error,0,0,0,6,crash_loop
1,10.1,21.5,0,0,ErrImagePull,0,6,0,1,image_pull_error
0,2.9,13.7,0,0,Pending,0,0,5,0,scheduling_failure
9,82.2,50.6,0,1,CrashLoopBackOff,0,0,0,5,crash_loop
0,7.9,16.8,0,0,Unschedulable,0,0,9,0,scheduling_failure
0,17.1,15.6,0,0,ErrImagePull,0,3,0,0,image_pull_error
6,77.4,59.3,0,1,CrashLoopBackOff,0,0,0,3,crash_loop
3,39.6,63.5,0,0,Running,0,0,0,8,probe_failure
0,34.8,52.8,1,0,None,0,0,0,0,healthy
1,54.7,61.4,0,0,Running,0,0,0,7,probe_failure
0,14.3,56.0,1,0,None,0,0,0,0,healthy
0,13.9,19.0,0,0,ErrImagePull,0,4,0,0,image_pull_error
10,84.3,82.5,0,1,CrashLoopBackOff,0,0,0,8,crash_loop
3,41.1,92.3,0,137,OOMKilled,1,0,0,0,oom_killed
3,57.1,92.5,0,137,Error,2,0,0,1,oom_killed
0,8.0,16.5,0,0,Pending,0,0,8,0,scheduling_failure
7,81.7,63.8,0,1,Error,0,0,0,5,crash_loop
0,13.0,44.8,1,0,None,0,0,0,0,healthy
1,4.1,51.1,1,0,None,0,0,0,0,healthy
0,27.7,70.2,1,0,None,0,0,0,0,healthy
2,66.0,88.1,0,137,OOMKilled,2,0,0,3,oom_killed
8,78.4,69.1,0,1,CrashLoopBackOff,0,0,0,4,crash_loop
0,1.2,9.1,0,0,Unschedulable,0,0,3,0,scheduling_failure
0,6.8,29.7,0,0,Pending,0,0,4,0,scheduling_failure
2,88.7,93.2,0,137,Error,1,0,0,2,oom_killed
12,84.4,77.4,0,1,Error,0,0,0,4,crash_loop
0,9.4,22.2,1,0,None,0,0,0,0,healthy
1,67.3,87.3,0,137,OOMKilled,3,0,0,1,oom_killed
2,33.5,47.2,0,1,Running,0,0,0,7,probe_failure
0,8.1,19.4,0,0,Unschedulable,0,0,6,0,scheduling_failure
3,44.1,98.3,0,137,Error,4,0,0,1,oom_killed
0,18.8,58.1,1,0,None,0,0,0,0,healthy
0,17.5,26.5,1,0,None,0,0,0,0,healthy
2,49.5,57.4,0,0,Running,0,0,0,5,probe_failure
3,46.7,93.0,0,137,Error,4,0,0,0,oom_killed
0,11.2,21.4,0,0,ImagePullBackOff,0,3,0,0,image_pull_error
0,8.0,16.6,0,0,ImagePullBackOff,0,7,0,0,image_pull_error
0,7.7,12.4,0,0,Pending,0,0,8,1,scheduling_failure
0,15.2,47.4,1,0,None,0,0,0,0,healthy
0,4.4,19.8,0,0,ErrImagePull,0,11,0,0,image_pull_error
2,72.4,49.8,0,1,Running,0,0,0,9,probe_failure
5,67.2,73.4,0,1,CrashLoopBackOff,0,0,0,3,crash_loop
3,66.5,87.2,0,137,OOMKilled,3,0,0,2,oom_killed
2,49.3,47.2,0,1,Error,0,0,0,10,probe_failure
3,77.8,93.2,0,137,Error,5,0,0,0,oom_killed
5,66.5,88.9,0,137,OOMKilled,4,0,0,2,oom_killed
8,80.5,70.4,0,1,Error,0,0,0,2,crash_loop
1,14.2,21.2,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
5,38.2,92.3,0,137,OOMKilled,5,0,0,1,oom_killed
0,33.0,53.0,1,0,None,0,0,0,1,healthy
0,1.0,59.3,1,0,None,0,0,0,0,healthy
1,20.5,38.4,1,0,None,0,0,0,0,healthy
0,14.2,17.6,0,1,ErrImagePull,0,4,0,0,image_pull_error
0,14.7,12.1,0,1,ImagePullBackOff,0,4,0,0,image_pull_error
3,68.6,100.0,0,137,OOMKilled,3,0,0,2,oom_killed
2,58.2,67.3,0,1,Running,0,0,0,2,probe_failure
1,41.0,38.1,1,0,None,0,0,0,0,healthy
1,35.4,65.8,0,1,Running,0,0,0,5,probe_failure
2,55.1,98.5,0,137,OOMKilled,1,0,0,1,oom_killed
0,11.9,10.2,0,0,ErrImagePull,0,7,0,0,image_pull_error
0,7.5,25.7,0,0,ErrImagePull,0,6,0,0,image_pull_error
3,71.4,58.4,0,1,CrashLoopBackOff,0,0,0,7,crash_loop
2,57.9,52.9,0,1,Error,0,0,0,9,probe_failure
5,85.0,56.4,0,1,Error,0,0,0,4,crash_loop
0,21.0,16.1,1,0,None,0,0,0,0,healthy
9,76.5,74.3,0,1,CrashLoopBackOff,0,0,0,2,crash_loop
2,74.4,48.2,0,1,Error,0,0,0,5,crash_loop
2,52.8,62.7,0,0,Error,0,0,0,5,probe_failure
1,34.5,35.8,1,0,None,0,0,0,0,healthy
1,3.3,7.7,0,0,ImagePullBackOff,0,4,0,0,image_pull_error
3,45.2,58.2,0,1,Error,0,0,0,7,probe_failure
0,24.0,49.5,1,0,None,0,0,0,1,healthy
0,14.9,17.4,0,0,ImagePullBackOff,0,2,0,0,image_pull_error
0,7.6,40.9,1,0,None,0,0,0,0,healthy
7,62.4,79.7,0,2,Error,0,0,0,4,crash_loop
1,22.7,54.1,1,0,None,0,0,0,0,healthy
0,9.8,21.5,0,0,Unschedulable,0,0,4,0,scheduling_failure
5,43.6,43.3,0,1,Running,0,0,0,5,probe_failure
0,5.0,9.5,0,0,Pending,0,0,5,1,scheduling_failure
3,55.5,94.6,0,137,OOMKilled,3,0,0,3,oom_killed
0,17.9,11.4,0,0,ImagePullBackOff,0,5,0,0,image_pull_error
3,54.6,46.9,0,1,Running,0,0,0,6,probe_failure
4,48.6,60.6,0,0,Error,0,0,0,8,probe_failure
0,8.7,17.4,0,0,Pending,0,0,8,1,scheduling_failure
1,61.5,99.1,0,137,Error,1,0,0,1,oom_killed
4,33.9,98.0,0,137,Error,7,0,0,4,oom_killed
2,83.5,88.0,0,137,Error,1,0,0,0,oom_killed
1,5.0,14.2,0,0,ImagePullBackOff,0,8,0,0,image_pull_error
2,71.0,50.9,0,1,Error,0,0,0,7,probe_failure
1,13.1,9.7,0,1,ErrImagePull,0,5,0,0,image_pull_error
0,77.4,44.1,0,0,Running,0,0,0,11,probe_failure
2,39.3,47.8,0,0,Running,0,0,0,3,probe_failure
0,15.7,26.5,0,0,ImagePullBackOff,0,9,0,1,image_pull_error
0,12.8,20.2,0,0,Unschedulable,0,0,9,0,scheduling_failure
0,4.6,17.1,0,0,ErrImagePull,0,3,0,0,image_pull_error
3,50.4,96.2,0,137,OOMKilled,3,0,0,3,oom_killed
14,86.2,71.7,0,1,CrashLoopBackOff,0,0,0,7,crash_loop
1,0.2,32.9,1,0,None,0,0,0,1,healthy
1,52.7,91.7,0,137,OOMKilled,2,0,0,1,oom_killed
1,5.3,15.2,0,0,Pending,0,0,8,0,scheduling_failure
